GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TIComo,com.TIComoApp.TIComo,TiComoApplication,5,3,0,0,2,1,1,1,1,1
TIComo,com.TIComoApp.TIComo.model,Valoracion,14,72,0,0,6,20,4,10,4,10
TIComo,com.TIComoApp.TIComo.model,Cliente,0,67,0,2,0,18,0,10,0,9
TIComo,com.TIComoApp.TIComo.model,Plato,0,114,0,0,0,32,0,16,0,16
TIComo,com.TIComoApp.TIComo.model,Restaurante,0,129,0,0,0,37,0,18,0,18
TIComo,com.TIComoApp.TIComo.model,Usuario,3,131,2,16,1,46,3,22,1,15
TIComo,com.TIComoApp.TIComo.model,Administrador,0,29,0,0,0,7,0,4,0,4
TIComo,com.TIComoApp.TIComo.model,Entrega,0,178,0,0,0,57,0,28,0,28
TIComo,com.TIComoApp.TIComo.model,Rider,0,93,0,2,0,27,0,14,0,13
TIComo,com.TIComoApp.TIComo.model,Pedido,0,141,0,0,0,42,0,21,0,21
TIComo,com.TIComoApp.TIComo.controller,PedidoController,0,76,0,4,0,15,0,7,0,5
TIComo,com.TIComoApp.TIComo.controller,PlatoController,0,69,0,0,0,15,0,6,0,6
TIComo,com.TIComoApp.TIComo.controller,AdminController,10,93,1,3,1,19,1,7,0,6
TIComo,com.TIComoApp.TIComo.controller,ClienteController,25,257,1,23,4,43,2,17,1,6
TIComo,com.TIComoApp.TIComo.controller,RiderController,0,216,0,12,0,35,0,13,0,7
TIComo,com.TIComoApp.TIComo.controller,RestauranteController,0,73,0,0,0,16,0,6,0,6
TIComo,com.TIComoApp.TIComo.controller,EntregaController,4,99,1,3,1,20,2,7,1,6
TIComo,com.TIComoApp.TIComo.controller,AuthenticationController,20,211,4,28,4,43,4,15,0,3
TIComo,com.TIComoApp.TIComo.controller,ValoracionController,0,13,0,0,0,3,0,3,0,3
